NAME,SYMBOL,PRICE,QUANTITY,MARKET_CAP,MARKET_CAP_PERCENTAGE
JOHN KEELLS HOLDINGS PLC,JKH.N0000,155.4,1359773776,211308844790.4,8.23841478650329915325038929771
CEYLON TOBACCO COMPANY PLC,CTC.N0000,857.1,187323751,160555186982.1,6.25965386254966325039095393264
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,149.2,832923427,124272175308.4,4.84506802177248665559274085047
NESTLE LANKA PLC,NEST.N0000,2013,53725463,108149357019,4.21647878913884516736504188236
DIALOG AXIATA PLC,DIAL.N0000,11.5,8143778405,93653451657.5,3.65131891051477922922295914556
HATTON NATIONAL BANK PLC,HNB.N0000,231.1,330367181,76347855529.1,2.97661606419103673283207989699
SRI LANKA TELECOM PLC,SLTL.N0000,37.8,1804860000,68223708000,2.65987543178702866399446278884
HEMAS HOLDINGS PLC,HHL.N0000,107,572545133,61262329231,2.38846830804894440344495574663
CEYLON COLD STORES PLC,CCS.N0000,625.1,95040000,59409504000,2.31623118614797669106014720032
SAMPATH BANK PLC,SAMP.N0000,268.1,176981069,47448624598.9,1.84990576652180452068578667427
CARGILLS (CEYLON) PLC,CARG.N0000,184,224000000,41216000000,1.60691098461746132906167718566
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,169.5,240000000,40680000000,1.58601365620725754236774621294
LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,82.1,475200000,39013920000,1.52105727389816738390687958043
CARSON CUMBERBATCH PLC,CARS.N0000,185.6,196386914,36449411238.4,1.42107335262577893275373876499
DFCC BANK PLC,DFCC.N0000,127.9,265097688,33905994295.2,1.32191174974121357670496498025
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,29.3,1137533596,33329734362.8,1.29944478508262284239438908132
TEEJAY LANKA PLC,TJL.N0000,47.3,698592840,33043441332,1.28828292036960010407677301761
LION BREWERY CEYLON PLC,LION.N0000,410,80000000,32800000000,1.27879173853485858873308937523
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,18.8,1579862482,29701414661.6,1.15798547841622568872194101642
AITKEN SPENCE PLC,SPEN.N0000,71.1,405996045,28866318799.5,1.12542713422908771542743953415
CEYLINCO INSURANCE PLC,CINS.N0000,1398.8,20000000,27976000000,1.09071578284302450848771062078
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,166,165185506,27420793996,1.06906965933387354349516251180
BUKIT DARAH PLC,BUKI.N0000,264.9,102000000,27019800000,1.05343588466049305170275391161
ACCESS ENGINEERING PLC,AEL.N0000,27,1000000000,27000000000,1.05266393111101164316443332717
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,60,442775300,26566518000,1.03576352865968336356805536838
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,113,216758888,24493754344,0.95495154575638734003679321162
VALLIBEL ONE PLC,VONE.N0000,22,1086559353,23904305766,0.93197038807841416325143326181
COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,3.7,6377711170,23597531329,0.92001000345557018616505496802
C T HOLDINGS PLC,CTHR.N0000,125,183097253,22887156625,0.89231423203059013849270356253
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,67.6,318074365,21501827074,0.83830362273281559438971257585
HAYLEYS PLC,HAYL.N0000,284,75000000,21300000000,0.83043487898757585182971962477
NATIONS TRUST BANK PLC,NTB.N0000,84.9,230607283,19578558326.7,0.76332008050630563660509871315
LANKA IOC PLC,LIOC.N0000,35.7,532465705,19009025668.5,0.74111539580716059436722502528
TRANS ASIA HOTELS PLC,TRAN.N0000,94.9,200000000,18980000000,0.73998375601803707360225720554
UNION BANK OF COLOMBO PLC,UBC.N0000,16.8,1091406249,18335624983.2,0.71486115089602180803821730442
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,20.2,887878273,17935141114.6,0.69924726484168766585621230424
JOHN KEELLS HOTELS PLC,KHL.N0000,12.2,1456146780,17764990716,0.69261351715759945948829862661
L B FINANCE PLC,LFIN.N0000,127,138514284,17591314068,0.68584228963812303659667748243
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,49.6,336290010,16679984496,0.65031177964555875047623082503
SINGER SRI LANKA PLC,SINS.N0000,133,125209610,16652878130,0.64925496876438490350475391659
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,8.1,2035038275,16483810027.5,0.64266341715686159034307918184
SEYLAN BANK PLC,SEYB.N0000,93,175977401,16365898293,0.63806632715823611275436757435
THE LANKA HOSPITAL CORPORATION PLC,LHCL.N0000,72,223732169,16108716168,0.62803942542808857255848717852
SHALIMAR (MALAY)  PLC,SHAL.N0000,2298.2,6940080,15949691856,0.62183945663504620136670149286
CEYLON TEA SERVICES PLC,CTEA.N0000,716,20000000,14320000000,0.55830175901887728630054389797
ROYAL CERAMICS LANKA PLC,RCL.N0000,123.9,110789384,13726804677.6,0.53517452494501625141694835042
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,648,20988090,13600282320,0.53024172782188109658679227527
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,61,222750000,13587750000,0.52975312333161660942250107190
EXPOLANKA HOLDINGS PLC,EXPO.N0000,6.7,1954915000,13097930500,0.51065625961291919580957584412
LAUGFS GAS PLC,LGL.N0000,35.3,335000086,11825503035.8,0.46104742640853445381667231959
SOFTLOGIC HOLDINGS PLC,SHL.N0000,14.3,779000000,11139700000,0.43430964419990134819847547906
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,126,82978868,10455337368,0.40762801981076806626148820497
INDO MALAY  PLC,INDO.N0000,1429.6,6998400,10004912640,0.39006706185350554192159291087
